path,expected_classification,predicted_classification,predicted_confidence,reference_rule_id,reference_evidence,matched,review_reason
ACs/Windfree/Windfree_Actest2.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Windfree"", ""category_segment"": ""ACs"", ""commercial_model"": ""Actest2"", ""filename"": ""Windfree_Actest2""}",False,predição diverge da regra silver
ACs/Windfree/Windfree_Remote3.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Windfree"", ""category_segment"": ""ACs"", ""commercial_model"": ""Remote3"", ""filename"": ""Windfree_Remote3""}",False,predição diverge da regra silver
ACs/Zephir/Zephir_ZPO9001H_AC.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Zephir"", ""category_segment"": ""ACs"", ""commercial_model"": ""ZPO9001H_AC"", ""filename"": ""Zephir_ZPO9001H_AC""}",False,predição diverge da regra silver
ACs/electriQ/electriQ_P15C-V2.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""electriQ"", ""category_segment"": ""ACs"", ""commercial_model"": ""P15C-V2"", ""filename"": ""electriQ_P15C-V2""}",False,predição diverge da regra silver
Air_Purifiers/Blueair/Blueair_T10i_T20i.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Blueair"", ""category_segment"": ""Air_Purifiers"", ""commercial_model"": ""T10i_T20i"", ""filename"": ""Blueair_T10i_T20i""}",False,predição diverge da regra silver
Air_Purifiers/Dyson/Dyson_HotCool_HP02.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Dyson"", ""category_segment"": ""Air_Purifiers"", ""commercial_model"": ""HotCool_HP02"", ""filename"": ""Dyson_HotCool_HP02""}",False,predição diverge da regra silver
Air_Purifiers/Dyson/Dyson_HotCool_HP04.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Dyson"", ""category_segment"": ""Air_Purifiers"", ""commercial_model"": ""HotCool_HP04"", ""filename"": ""Dyson_HotCool_HP04""}",False,predição diverge da regra silver
Air_Purifiers/Dyson/Dyson_HotCool_HP07.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Dyson"", ""category_segment"": ""Air_Purifiers"", ""commercial_model"": ""HotCool_HP07"", ""filename"": ""Dyson_HotCool_HP07""}",False,predição diverge da regra silver
Air_Purifiers/Dyson/Dyson_PureCool_TP00.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Dyson"", ""category_segment"": ""Air_Purifiers"", ""commercial_model"": ""PureCool_TP00"", ""filename"": ""Dyson_PureCool_TP00""}",False,predição diverge da regra silver
Air_Purifiers/Dyson/Dyson_PureCool_TP4A.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Dyson"", ""category_segment"": ""Air_Purifiers"", ""commercial_model"": ""PureCool_TP4A"", ""filename"": ""Dyson_PureCool_TP4A""}",False,predição diverge da regra silver
Air_Purifiers/Dyson/Dyson_Purifier_Cool_Autoreact_TP7A.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Dyson"", ""category_segment"": ""Air_Purifiers"", ""commercial_model"": ""Purifier_Cool_Autoreact_TP7A"", ""filename"": ""Dyson_Purifier_Cool_Autoreact_TP7A""}",False,predição diverge da regra silver
Air_Purifiers/Dyson/Dyson_Purifier_Cool_TP10.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Dyson"", ""category_segment"": ""Air_Purifiers"", ""commercial_model"": ""Purifier_Cool_TP10"", ""filename"": ""Dyson_Purifier_Cool_TP10""}",False,predição diverge da regra silver
