original_name,count,example_paths,canonical_name,confidence,reason,ambiguity
Menu,694,"[""Audio_and_Video_Receivers/Emotiva/Emotiva_PT100_TA100.ir"",""Audio_and_Video_Receivers/Grundig/Grundig_CMS_5000.ir"",""Audio_and_Video_Receivers/Onkyo/Onkyo_RC898M.ir"",""Audio_and_Video_Receivers/Panasonic/Panasonic_N2QAYB000210.ir"",""Audio_and_Video_Receivers/Panasonic/Panasonic_N2QAYB001009.ir""]",menu,0.99,alias versionado corresponde a menu,False
Vol_dn,652,"[""Audio_and_Video_Receivers/ASR/ASR_EMITTER1HD.ir"",""Audio_and_Video_Receivers/Adastra/Adastra_WA215.ir"",""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
TUNER,616,"[""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Integra/DTR-7.ir"",""Audio_and_Video_Receivers/Pyle/Pyle_P2203ABTU.ir"",""Audio_and_Video_Receivers/Yamaha/Yamaha_AX-396.ir"",""Car_Multimedia/CD_Players/Pioneer/Pioneer_CXC2665.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
REWIND,599,"[""Audio_and_Video_Receivers/Sony/Sony_STR-DH590.ir"",""CD_Players/Denon/Denon_RC_1199.ir"",""CD_Players/Sony/Sony_CFD-S35CP.ir"",""Cable_Boxes/ARRIS/ARRIS_VIP_2952_V2.ir"",""Car_Multimedia/DVD_Players/Toyota/TOYOTA_SIENNA-2011-2014.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
SELECT,588,"[""Audio_and_Video_Receivers/SMSL/SMSL_RC-8A.ir"",""Audio_and_Video_Receivers/SMSL/SMSL_RC-8C.ir"",""DVB-T/Storex/MediaZapperHD.ir"",""_Converted_/CSV/A/AIM/MCE_AIM-RC126/4_15.ir"",""_Converted_/CSV/A/Acer/Unknown_RC-802/16_37.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
R,586,"[""Blu-Ray/LG/LG_AKB73495301.ir"",""Blu-Ray/LG/LG_AKB73775801.ir"",""Blu-Ray/Sanyo/Sanyo_Bluray_NC088.ir"",""Cable_Boxes/Bell/Bell_Sat_CAN.ir"",""LED_Lighting/AuraGlow/AuraGlowLED.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
SETUP,581,"[""CD_Players/Denon/Denon_RC_1199.ir"",""CD_Players/Panasonic/Panasonic_SC-HC58.ir"",""DVB-T/Storex/MediaZapperHD.ir"",""DVD_Players/Strato/Strato_DVD507.ir"",""DVD_Players/Toshiba/TOSHIBA_SE_R0420.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CHANNELDOWN,578,"[""_Converted_/CSV/A/ABS/SAT_8776/8_0.ir"",""_Converted_/CSV/A/ADB/SAT_ICAN3000/8_0.ir"",""_Converted_/CSV/A/ADS/AUDIO_Tech/0_-1.ir"",""_Converted_/CSV/A/ADS/TV_Instant/2_-1.ir"",""_Converted_/CSV/A/AIM/MCE_AIM-RC126/4_15.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
G,575,"[""Blu-Ray/LG/LG_AKB73495301.ir"",""Blu-Ray/LG/LG_AKB73775801.ir"",""Blu-Ray/Sanyo/Sanyo_Bluray_NC088.ir"",""LED_Lighting/AuraGlow/AuraGlowLED.ir"",""LED_Lighting/Cameo/CLPFLAT1REMOTE.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
INPUT,573,"[""Audio_and_Video_Receivers/SMSL/SMSL_RC-8C.ir"",""Projectors/SMART/SMART_Projectors.ir"",""Projectors/Vamvo/Vamvo_YG300_Pro_Mini.ir"",""SoundBars/Vizio/Vizio_V51-H6.ir"",""Speakers/Microlab/Microlab_RC071.ir""]",input,0.99,alias versionado corresponde a input,False
ANGLE,566,"[""DVD_Players/Strato/Strato_DVD507.ir"",""_Converted_/CSV/A/ABIT/DVD_WINDVD/1_-1.ir"",""_Converted_/CSV/A/Acer/Unknown_RC-802/16_37.ir"",""_Converted_/CSV/A/Acesonic/Karaoke/5_122.ir"",""_Converted_/CSV/A/Apex/DVD_Player/4_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CHANNELUP,564,"[""_Converted_/CSV/A/ABS/SAT_8776/8_0.ir"",""_Converted_/CSV/A/ADB/SAT_ICAN3000/8_0.ir"",""_Converted_/CSV/A/ADS/AUDIO_Tech/0_-1.ir"",""_Converted_/CSV/A/ADS/TV_Instant/2_-1.ir"",""_Converted_/CSV/A/AIM/MCE_AIM-RC126/4_15.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
ZOOM,553,"[""Cable_Boxes/EVO/EVO4.ir"",""DVB-T/Storex/MediaZapperHD.ir"",""DVD_Players/Strato/Strato_DVD507.ir"",""Projectors/Optoma/Optoma_DH1011.ir"",""VCR/Philips/Philips-RC2K16.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
